experiment,iteration,sigma,attributes,objects,closure
1,0,4933,40,202599,0
1,1,4299,40,538,4
1,2,2660,40,0,7
2,0,4933,40,202599,0
2,1,3037,40,284,5
2,2,997,40,0,11
3,0,4933,40,202599,0
3,1,4303,40,534,4
3,2,2183,40,0,9
4,0,4933,40,202599,0
4,1,4031,40,1510,4
4,2,2065,40,0,9
5,0,4933,40,202599,0
5,1,4275,40,420,4
5,2,766,40,0,8
6,0,4933,40,202599,0
6,1,3560,40,230,6
6,2,2019,40,0,8
7,0,4933,40,202599,0
7,1,3250,40,340,6
7,2,1463,40,1,9
8,0,4933,40,202599,0
8,1,1254,40,1914,5
8,2,749,40,0,8
9,0,4933,40,202599,0
9,1,4294,40,298,3
9,2,2464,40,0,7
10,0,4933,40,202599,0
10,1,4257,40,1429,3
10,2,811,40,0,7
11,0,4933,40,202599,0
11,1,4310,40,218,4
11,2,2477,40,0,8
12,0,4933,40,202599,0
12,1,3045,40,237,4
12,2,2545,40,0,6
13,0,4933,40,202599,0
13,1,3146,40,296,4
13,2,2563,40,0,7
14,0,4933,40,202599,0
14,1,4301,40,289,4
14,2,762,40,0,8
15,0,4933,40,202599,0
15,1,3187,40,758,4
15,2,643,40,64,8
15,3,235,40,0,11
16,0,4933,40,202599,0
16,1,4257,40,263,4
16,2,803,40,0,8
17,0,4933,40,202599,0
17,1,2666,40,2402,5
17,2,2188,40,0,8
18,0,4933,40,202599,0
18,1,2857,40,854,5
18,2,2392,40,0,7
19,0,4933,40,202599,0
19,1,3880,40,4574,4
19,2,457,40,0,8
20,0,4933,40,202599,0
20,1,4274,40,1193,3
20,2,3314,40,0,8
21,0,4933,40,202599,0
21,1,4206,40,429,4
21,2,2134,40,0,8
22,0,4933,40,202599,0
22,1,3854,40,849,5
22,2,2013,40,0,9
23,0,4933,40,202599,0
23,1,4328,40,550,4
23,2,2507,40,0,8
24,0,4933,40,202599,0
24,1,2666,40,280,5
24,2,2216,40,0,10
25,0,4933,40,202599,0
25,1,2951,40,205,5
25,2,859,40,0,10
26,0,4933,40,202599,0
26,1,4294,40,298,3
26,2,2570,40,1,10
27,0,4933,40,202599,0
27,1,3149,40,369,4
27,2,793,40,0,10
28,0,4933,40,202599,0
28,1,4274,40,1193,3
28,2,2402,40,0,7
29,0,4933,40,202599,0
29,1,4253,40,836,4
29,2,568,40,0,9
30,0,4933,40,202599,0
30,1,4330,40,435,4
30,2,754,40,0,8
31,0,4933,40,202599,0
31,1,1298,40,516,4
31,2,574,40,15,10
31,3,188,40,0,13
32,0,4933,40,202599,0
32,1,4157,40,1124,4
32,2,2349,40,80,9
32,3,1044,40,0,12
33,0,4933,40,202599,0
33,1,3047,40,400,4
33,2,933,40,113,8
33,3,324,40,31,12
33,4,2,40,0,15
34,0,4933,40,202599,0
34,1,4187,40,1709,4
34,2,2483,40,0,8
35,0,4933,40,202599,0
35,1,4295,40,701,4
35,2,2099,40,0,9
36,0,4933,40,202599,0
36,1,1322,40,460,4
36,2,818,40,0,7
37,0,4933,40,202599,0
37,1,4187,40,222,4
37,2,2576,40,0,7
38,0,4933,40,202599,0
38,1,4275,40,3463,3
38,2,3989,40,240,7
38,3,1950,40,1,12
39,0,4933,40,202599,0
39,1,4330,40,1089,3
39,2,2516,40,13,9
39,3,903,40,0,13
40,0,4933,40,202599,0
40,1,4176,40,325,4
40,2,803,40,0,6
41,0,4933,40,202599,0
41,1,4330,40,324,3
41,2,2576,40,0,6
42,0,4933,40,202599,0
42,1,4274,40,1193,3
42,2,2161,40,0,8
43,0,4933,40,202599,0
43,1,4310,40,218,4
43,2,2462,40,0,8
44,0,4933,40,202599,0
44,1,4287,40,1198,4
44,2,3098,40,17,10
44,3,1712,40,0,13
45,0,4933,40,202599,0
45,1,4194,40,683,4
45,2,2343,40,0,8
46,0,4933,40,202599,0
46,1,4272,40,260,4
46,2,2365,40,0,8
47,0,4933,40,202599,0
47,1,3060,40,275,4
47,2,789,40,134,8
47,3,337,40,0,10
48,0,4933,40,202599,0
48,1,4295,40,377,4
48,2,325,40,0,11
49,0,4933,40,202599,0
49,1,3187,40,563,4
49,2,2543,40,0,7
50,0,4933,40,202599,0
50,1,4330,40,559,3
50,2,771,40,0,8
51,0,4933,40,202599,0
51,1,2595,40,718,6
51,2,1588,40,0,10
52,0,4933,40,202599,0
52,1,3187,40,563,4
52,2,1068,40,531,6
52,3,539,40,0,9
53,0,4933,40,202599,0
53,1,2933,40,613,5
53,2,957,40,10,8
53,3,479,40,0,10
54,0,4933,40,202599,0
54,1,2740,40,1215,5
54,2,882,40,0,9
55,0,4933,40,202599,0
55,1,4274,40,2132,3
55,2,2346,40,0,7
56,0,4933,40,202599,0
56,1,2763,40,1026,4
56,2,240,40,0,10
57,0,4933,40,202599,0
57,1,3099,40,305,4
57,2,2488,40,0,8
58,0,4933,40,202599,0
58,1,3036,40,447,4
58,2,1015,40,7,8
58,3,434,40,4,11
58,4,56,40,0,13
59,0,4933,40,202599,0
59,1,4324,40,1156,4
59,2,2614,40,0,8
60,0,4933,40,202599,0
60,1,4324,40,1156,4
60,2,812,40,0,8
61,0,4933,40,202599,0
61,1,3051,40,628,4
61,2,1047,40,36,6
61,3,746,40,14,9
61,4,304,40,0,11
62,0,4933,40,202599,0
62,1,4135,40,351,4
62,2,702,40,0,9
63,0,4933,40,202599,0
63,1,1311,40,1870,4
63,2,1027,40,24,8
63,3,536,40,0,10
64,0,4933,40,202599,0
64,1,4294,40,298,3
64,2,472,40,0,7
65,0,4933,40,202599,0
65,1,4329,40,666,3
65,2,2682,40,0,7
66,0,4933,40,202599,0
66,1,3893,40,1323,4
66,2,2180,40,0,7
67,0,4933,40,202599,0
67,1,2700,40,218,6
67,2,837,40,62,9
67,3,604,40,4,12
67,4,13,40,0,17
68,0,4933,40,202599,0
68,1,4330,40,1920,3
68,2,2536,40,0,7
69,0,4933,40,202599,0
69,1,4330,40,1124,3
69,2,818,40,0,7
70,0,4933,40,202599,0
70,1,4267,40,352,4
70,2,2436,40,0,8
71,0,4933,40,202599,0
71,1,1299,40,323,5
71,2,805,40,0,9
72,0,4933,40,202599,0
72,1,4274,40,1193,3
72,2,1745,40,0,8
73,0,4933,40,202599,0
73,1,4330,40,324,3
73,2,2643,40,0,6
74,0,4933,40,202599,0
74,1,3062,40,205,5
74,2,2248,40,0,9
75,0,4933,40,202599,0
75,1,4329,40,666,3
75,2,811,40,0,7
76,0,4933,40,202599,0
76,1,3189,40,209,4
76,2,2685,40,0,6
77,0,4933,40,202599,0
77,1,4205,40,669,4
77,2,2195,40,0,8
78,0,4933,40,202599,0
78,1,4084,40,274,4
78,2,2068,40,0,8
79,0,4933,40,202599,0
79,1,4297,40,230,4
79,2,2370,40,0,9
80,0,4933,40,202599,0
80,1,4109,40,631,5
80,2,720,40,0,9
81,0,4933,40,202599,0
81,1,4031,40,1510,4
81,2,2167,40,0,8
82,0,4933,40,202599,0
82,1,2905,40,506,5
82,2,2141,40,0,8
83,0,4933,40,202599,0
83,1,3181,40,216,4
83,2,2234,40,2,8
83,3,922,40,0,10
84,0,4933,40,202599,0
84,1,4310,40,218,4
84,2,2582,40,0,8
85,0,4933,40,202599,0
85,1,4038,40,570,4
85,2,1880,40,0,9
86,0,4933,40,202599,0
86,1,4297,40,230,4
86,2,2851,40,1,10
87,0,4933,40,202599,0
87,1,3051,40,628,4
87,2,1060,40,459,6
87,3,555,40,0,9
88,0,4933,40,202599,0
88,1,2737,40,955,4
88,2,2390,40,0,10
89,0,4933,40,202599,0
89,1,4329,40,666,3
89,2,2669,40,0,7
90,0,4933,40,202599,0
90,1,4330,40,388,3
90,2,2123,40,0,8
91,0,4933,40,202599,0
91,1,4202,40,588,4
91,2,509,40,0,10
92,0,4933,40,202599,0
92,1,4145,40,680,4
92,2,789,40,0,7
93,0,4933,40,202599,0
93,1,4177,40,242,4
93,2,2578,40,0,7
94,0,4933,40,202599,0
94,1,4206,40,638,4
94,2,2552,40,0,7
95,0,4933,40,202599,0
95,1,1068,40,4249,4
95,2,556,40,0,7
96,0,4933,40,202599,0
96,1,2997,40,481,4
96,2,954,40,0,8
97,0,4933,40,202599,0
97,1,4296,40,271,3
97,2,3708,40,13,8
97,3,1780,40,0,12
98,0,4933,40,202599,0
98,1,4326,40,937,4
98,2,2556,40,0,8
99,0,4933,40,202599,0
99,1,4329,40,523,4
99,2,812,40,0,7
100,0,4933,40,202599,0
100,1,4330,40,636,3
100,2,2687,40,0,6
101,0,4933,40,202599,0
101,1,3126,40,338,4
101,2,2438,40,0,7
102,0,4933,40,202599,0
102,1,4328,40,550,4
102,2,2546,40,0,8
103,0,4933,40,202599,0
103,1,1258,40,275,5
103,2,412,40,0,9
104,0,4933,40,202599,0
104,1,4330,40,224,4
104,2,2467,40,0,9
105,0,4933,40,202599,0
105,1,2870,40,217,5
105,2,999,40,3,7
105,3,326,40,0,13
106,0,4933,40,202599,0
106,1,4294,40,298,3
106,2,3250,40,3,7
106,3,1664,40,0,10
107,0,4933,40,202599,0
107,1,1318,40,664,4
107,2,803,40,0,7
108,0,4933,40,202599,0
108,1,4330,40,558,3
108,2,818,40,0,7
109,0,4933,40,202599,0
109,1,2727,40,220,6
109,2,944,40,21,9
109,3,549,40,0,11
110,0,4933,40,202599,0
110,1,3239,40,3116,3
110,2,2437,40,0,9
111,0,4933,40,202599,0
111,1,4329,40,666,3
111,2,1535,40,0,8
112,0,4933,40,202599,0
