experiment,iteration,sigma,attributes,objects,closure
1,0,814,985,446,0
1,1,535,2,5,3
1,2,520,4,0,5
2,0,814,985,446,0
2,1,507,2,7,2
2,2,487,4,5,7
2,3,485,3,0,10
3,0,814,985,446,0
3,1,507,3,7,2
3,2,352,3,0,4
4,0,814,985,446,0
4,1,477,2,7,3
4,2,327,3,0,5
5,0,814,985,446,0
5,1,509,3,6,3
5,2,486,4,4,5
5,3,297,3,0,8
6,0,814,985,446,0
6,1,510,3,5,3
6,2,455,3,0,6
7,0,814,985,446,0
7,1,391,4,5,2
7,2,383,2,0,4
8,0,814,985,446,0
8,1,507,2,7,2
8,2,352,4,0,4
9,0,814,985,446,0
9,1,391,2,5,3
9,2,383,3,0,5
10,0,814,985,446,0
10,1,507,2,7,2
10,2,411,4,0,6
11,0,814,985,446,0
11,1,532,3,5,3
11,2,529,2,3,5
11,3,518,3,3,7
11,4,429,2,0,11
12,0,814,985,446,0
12,1,391,3,5,2
12,2,383,3,0,4
13,0,814,985,446,0
13,1,507,3,7,2
13,2,487,3,5,7
13,3,420,4,0,10
14,0,814,985,446,0
14,1,350,3,5,3
14,2,320,3,0,5
15,0,814,985,446,0
15,1,489,3,5,3
15,2,441,3,0,6
16,0,814,985,446,0
16,1,507,3,7,2
16,2,459,4,0,5
17,0,814,985,446,0
17,1,391,2,5,2
17,2,383,3,0,4
18,0,814,985,446,0
18,1,390,2,13,2
18,2,382,3,1,4
19,0,814,985,446,0
19,1,507,3,7,2
19,2,487,3,5,7
19,3,485,3,0,10
20,0,814,985,446,0
20,1,506,3,5,3
20,2,489,3,0,7
21,0,814,985,446,0
21,1,507,3,7,2
21,2,487,4,5,7
21,3,485,4,0,10
22,0,814,985,446,0
22,1,507,4,7,2
22,2,487,3,5,7
22,3,392,4,0,12
23,0,814,985,446,0
23,1,507,3,6,3
23,2,299,2,0,7
24,0,814,985,446,0
24,1,391,2,6,2
24,2,383,3,0,4
25,0,814,985,446,0
25,1,525,2,5,3
25,2,501,3,4,5
25,3,346,2,4,17
25,4,68,3,0,24
26,0,814,985,446,0
26,1,507,2,7,2
26,2,413,2,0,8
27,0,814,985,446,0
27,1,507,2,7,2
27,2,370,2,0,9
28,0,814,985,446,0
28,1,507,4,7,2
28,2,487,2,5,7
28,3,333,3,0,9
29,0,814,985,446,0
29,1,507,2,7,2
29,2,351,4,0,4
30,0,814,985,446,0
30,1,507,3,7,2
30,2,487,2,5,7
30,3,288,3,0,11
31,0,814,985,446,0
31,1,507,3,7,2
31,2,487,4,5,7
31,3,485,3,0,10
32,0,814,985,446,0
32,1,507,4,7,2
32,2,487,2,5,7
32,3,485,3,0,10
33,0,814,985,446,0
33,1,510,3,6,3
33,2,300,3,0,6
34,0,814,985,446,0
34,1,507,3,7,2
34,2,487,4,5,7
34,3,289,2,0,11
35,0,814,985,446,0
35,1,499,4,6,3
35,2,436,2,0,6
36,0,814,985,446,0
36,1,507,3,7,2
36,2,459,4,0,5
37,0,814,985,446,0
37,1,520,4,5,2
37,2,472,2,0,5
38,0,814,985,446,0
38,1,518,2,5,3
38,2,469,2,0,6
39,0,814,985,446,0
39,1,475,4,5,4
39,2,322,3,0,7
40,0,814,985,446,0
40,1,507,4,7,2
40,2,487,2,5,7
40,3,333,4,0,9
41,0,814,985,446,0
41,1,350,3,5,3
41,2,344,3,0,6
42,0,814,985,446,0
42,1,507,2,7,2
42,2,487,3,5,7
42,3,485,2,0,10
43,0,814,985,446,0
43,1,507,4,7,2
43,2,491,3,6,5
43,3,487,3,5,7
43,4,333,3,0,9
44,0,814,985,446,0
44,1,507,4,7,2
44,2,487,4,5,7
44,3,485,3,0,10
45,0,814,985,446,0
45,1,524,4,5,3
45,2,435,4,1,7
46,0,814,985,446,0
46,1,507,4,7,2
46,2,323,3,0,6
47,0,814,985,446,0
47,1,507,4,7,2
47,2,487,3,5,7
47,3,485,3,0,10
48,0,814,985,446,0
48,1,507,2,7,2
48,2,487,3,5,7
48,3,485,3,0,10
49,0,814,985,446,0
49,1,507,3,7,2
49,2,487,4,5,7
49,3,333,4,0,9
50,0,814,985,446,0
50,1,528,3,5,3
50,2,506,4,0,6
51,0,814,985,446,0
51,1,507,2,7,2
51,2,352,2,0,5
52,0,814,985,446,0
52,1,538,4,5,2
52,2,486,4,4,5
52,3,351,4,4,13
52,4,73,2,0,22
53,0,814,985,446,0
53,1,535,4,5,3
53,2,327,3,0,6
54,0,814,985,446,0
54,1,507,4,7,2
54,2,487,2,5,7
54,3,330,2,0,12
55,0,814,985,446,0
55,1,507,3,7,2
55,2,487,2,5,7
55,3,289,3,0,11
56,0,814,985,446,0
56,1,390,4,7,3
56,2,382,4,0,5
57,0,814,985,446,0
57,1,507,3,7,2
57,2,487,4,5,7
57,3,485,3,0,10
58,0,814,985,446,0
58,1,507,3,7,2
58,2,352,4,0,4
59,0,814,985,446,0
59,1,364,3,6,3
59,2,333,3,0,5
60,0,814,985,446,0
60,1,507,3,7,2
60,2,326,3,0,5
61,0,814,985,446,0
61,1,495,2,8,3
61,2,270,2,0,7
62,0,814,985,446,0
62,1,507,2,7,2
62,2,280,3,0,7
63,0,814,985,446,0
63,1,507,3,7,2
63,2,487,2,5,7
63,3,333,4,0,9
64,0,814,985,446,0
64,1,529,3,6,4
64,2,485,2,0,8
65,0,814,985,446,0
65,1,391,4,5,2
65,2,383,4,0,4
66,0,814,985,446,0
66,1,391,2,6,2
66,2,383,3,0,4
67,0,814,985,446,0
67,1,507,2,7,2
67,2,466,2,0,5
68,0,814,985,446,0
68,1,391,3,5,3
68,2,325,3,1,6
69,0,814,985,446,0
69,1,507,3,7,2
69,2,349,4,0,7
70,0,814,985,446,0
70,1,390,3,7,3
70,2,384,4,0,6
71,0,814,985,446,0
71,1,507,3,7,2
71,2,487,2,5,7
71,3,442,3,0,9
72,0,814,985,446,0
72,1,507,2,7,2
72,2,487,4,5,7
72,3,485,4,0,10
73,0,814,985,446,0
73,1,507,3,7,2
73,2,487,2,5,7
73,3,256,3,0,11
74,0,814,985,446,0
74,1,391,3,5,2
74,2,357,4,0,5
75,0,814,985,446,0
75,1,507,3,7,2
75,2,487,3,5,7
75,3,485,3,0,10
76,0,814,985,446,0
76,1,507,4,7,2
76,2,320,3,0,5
77,0,814,985,446,0
77,1,507,2,7,2
77,2,446,3,0,5
78,0,814,985,446,0
78,1,507,3,7,2
78,2,352,3,0,4
79,0,814,985,446,0
79,1,507,2,7,2
79,2,487,3,5,7
79,3,485,3,0,10
80,0,814,985,446,0
80,1,507,4,7,2
80,2,487,2,5,7
80,3,485,3,0,10
81,0,814,985,446,0
81,1,507,3,7,2
81,2,487,3,5,7
81,3,485,2,0,10
82,0,814,985,446,0
82,1,507,4,7,2
82,2,343,3,1,4
83,0,814,985,446,0
83,1,507,3,7,2
83,2,487,3,5,7
83,3,485,2,0,10
84,0,814,985,446,0
84,1,507,2,7,2
84,2,501,4,0,5
85,0,814,985,446,0
85,1,507,4,7,2
85,2,478,4,0,5
86,0,814,985,446,0
86,1,391,4,6,2
86,2,383,2,0,4
87,0,814,985,446,0
87,1,507,2,7,2
87,2,352,3,0,4
88,0,814,985,446,0
88,1,507,3,7,2
88,2,487,4,5,7
88,3,485,4,0,10
89,0,814,985,446,0
89,1,532,3,5,3
89,2,529,4,3,5
89,3,518,3,3,7
89,4,429,2,0,11
90,0,814,985,446,0
90,1,518,2,5,3
90,2,442,2,4,6
90,3,351,4,4,14
90,4,220,4,0,16
91,0,814,985,446,0
91,1,368,2,5,3
91,2,360,2,0,5
92,0,814,985,446,0
92,1,507,3,7,2
92,2,321,4,0,5
93,0,814,985,446,0
93,1,391,3,5,2
93,2,383,3,0,4
94,0,814,985,446,0
94,1,507,2,7,2
94,2,487,4,5,7
94,3,262,4,0,11
95,0,814,985,446,0
95,1,507,2,7,2
95,2,331,4,0,5
96,0,814,985,446,0
96,1,507,2,7,2
96,2,441,3,0,5
97,0,814,985,446,0
97,1,391,2,6,2
97,2,377,2,0,5
98,0,814,985,446,0
98,1,507,3,7,2
98,2,492,3,0,5
99,0,814,985,446,0
99,1,507,2,7,2
99,2,487,3,5,7
99,3,485,3,0,10
100,0,814,985,446,0
100,1,507,2,7,2
100,2,321,4,0,5
101,0,814,985,446,0
101,1,507,3,7,2
101,2,487,2,5,7
101,3,485,3,0,10
102,0,814,985,446,0
102,1,507,3,7,2
102,2,352,3,0,5
103,0,814,985,446,0
103,1,507,3,7,2
103,2,487,2,5,7
103,3,485,4,0,10
104,0,814,985,446,0
104,1,539,3,6,2
104,2,533,3,5,4
104,3,489,4,0,8
105,0,814,985,446,0
105,1,507,3,7,2
105,2,487,3,5,7
105,3,280,3,0,11
106,0,814,985,446,0
106,1,507,3,7,2
106,2,320,3,0,5
107,0,814,985,446,0
107,1,507,3,7,2
107,2,487,3,5,7
107,3,485,2,0,10
108,0,814,985,446,0
108,1,507,3,7,2
108,2,487,2,5,7
108,3,465,3,0,10
109,0,814,985,446,0
109,1,507,4,7,2
109,2,321,3,0,5
110,0,814,985,446,0
110,1,507,3,7,2
110,2,487,3,5,7
110,3,485,3,0,10
111,0,814,985,446,0
111,1,373,3,10,3
111,2,365,3,0,5
112,0,814,985,446,0
112,1,507,2,7,2
112,2,487,3,5,7
112,3,485,2,0,10
113,0,814,985,446,0
113,1,507,3,7,2
113,2,327,3,0,5
114,0,814,985,446,0
114,1,520,2,5,2
114,2,472,3,0,5
115,0,814,985,446,0
115,1,507,4,7,2
115,2,487,3,5,7
115,3,485,2,0,10
116,0,814,985,446,0
116,1,503,2,7,3
116,2,491,3,0,6
117,0,814,985,446,0
117,1,507,3,7,2
117,2,487,3,5,7
117,3,485,3,0,10
118,0,814,985,446,0
118,1,507,3,7,2
118,2,323,4,0,6
119,0,814,985,446,0
119,1,507,3,7,2
119,2,460,3,0,5
120,0,814,985,446,0
120,1,507,3,7,2
120,2,431,3,0,7
121,0,814,985,446,0
121,1,507,2,7,2
121,2,370,4,0,9
122,0,814,985,446,0
122,1,391,3,5,2
122,2,333,4,0,5
123,0,814,985,446,0
123,1,507,4,7,2
123,2,487,3,5,7
123,3,485,4,0,10
124,0,814,985,446,0
124,1,520,2,5,2
124,2,472,4,0,5
125,0,814,985,446,0
125,1,507,3,7,2
125,2,487,3,5,7
125,3,485,3,0,10
126,0,814,985,446,0
126,1,390,4,13,2
126,2,382,2,1,4
127,0,814,985,446,0
127,1,507,4,7,2
127,2,487,3,5,7
127,3,485,3,0,10
128,0,814,985,446,0
128,1,507,3,7,2
128,2,487,2,5,7
128,3,485,3,0,10
129,0,814,985,446,0
129,1,538,4,5,2
129,2,409,2,0,9
130,0,814,985,446,0
130,1,485,3,6,3
130,2,242,2,0,9
131,0,814,985,446,0
131,1,391,3,5,2
131,2,383,4,0,4
132,0,814,985,446,0
132,1,507,3,7,2
132,2,487,3,5,7
132,3,289,3,0,11
133,0,814,985,446,0
133,1,527,3,6,3
133,2,487,3,5,7
133,3,485,2,0,10
134,0,814,985,446,0
134,1,507,2,7,2
134,2,487,3,5,7
134,3,485,2,0,10
135,0,814,985,446,0
135,1,507,3,7,2
135,2,487,4,5,7
135,3,485,3,0,10
136,0,814,985,446,0
136,1,391,3,6,2
136,2,374,2,0,5
137,0,814,985,446,0
137,1,538,3,5,2
137,2,486,3,4,5
137,3,338,4,0,10
138,0,814,985,446,0
138,1,373,4,10,3
138,2,365,2,0,5
139,0,814,985,446,0
139,1,507,2,7,2
139,2,442,3,0,5
140,0,814,985,446,0
140,1,539,3,6,3
140,2,507,3,0,5
141,0,814,985,446,0
141,1,507,2,7,2
141,2,487,3,5,7
141,3,307,3,0,9
142,0,814,985,446,0
142,1,507,3,7,2
142,2,487,3,5,7
142,3,276,4,0,11
143,0,814,985,446,0
143,1,507,3,7,2
143,2,487,3,5,7
143,3,485,2,0,10
144,0,814,985,446,0
144,1,507,3,7,2
144,2,487,4,5,7
144,3,485,3,0,10
145,0,814,985,446,0
145,1,538,2,5,2
145,2,486,3,4,5
145,3,351,4,4,13
145,4,221,4,0,15
146,0,814,985,446,0
146,1,507,3,7,2
146,2,487,3,5,7
146,3,485,3,0,10
147,0,814,985,446,0
147,1,507,2,7,2
147,2,288,3,0,6
148,0,814,985,446,0
148,1,507,3,7,2
148,2,487,3,5,7
148,3,485,2,0,10
149,0,814,985,446,0
149,1,528,3,5,3
149,2,333,3,0,6
150,0,814,985,446,0
150,1,507,2,7,2
150,2,487,2,5,7
150,3,485,3,0,10
151,0,814,985,446,0
151,1,391,2,5,2
151,2,383,2,0,4
152,0,814,985,446,0
152,1,507,4,7,2
152,2,352,1,0,4
153,0,814,985,446,0
153,1,507,3,7,2
153,2,487,4,5,7
153,3,485,4,0,10
154,0,814,985,446,0
154,1,507,2,7,2
154,2,275,4,0,7
155,0,814,985,446,0
155,1,507,3,7,2
155,2,487,3,5,7
155,3,485,4,0,10
156,0,814,985,446,0
156,1,507,4,7,2
156,2,487,2,5,7
156,3,485,2,0,10
157,0,814,985,446,0
157,1,507,2,7,2
157,2,487,4,5,7
157,3,410,3,0,12
158,0,814,985,446,0
158,1,507,3,7,2
158,2,487,3,5,7
158,3,485,3,0,10
159,0,814,985,446,0
159,1,522,3,5,3
159,2,484,3,0,6
160,0,814,985,446,0
160,1,507,2,7,2
160,2,288,3,0,6
161,0,814,985,446,0
161,1,507,3,7,2
161,2,487,2,5,7
161,3,256,3,0,11
162,0,814,985,446,0
162,1,507,2,7,2
162,2,487,2,5,7
162,3,485,2,0,10
163,0,814,985,446,0
163,1,507,3,7,2
163,2,487,3,5,7
163,3,485,2,0,10
164,0,814,985,446,0
164,1,507,3,7,2
164,2,487,3,5,7
164,3,485,3,0,10
165,0,814,985,446,0
165,1,507,3,7,2
165,2,487,3,5,7
165,3,318,3,0,10
166,0,814,985,446,0
166,1,507,3,7,2
166,2,478,3,0,5
167,0,814,985,446,0
167,1,507,3,7,2
167,2,298,4,0,5
168,0,814,985,446,0
168,1,510,4,5,3
168,2,442,3,4,6
168,3,438,4,0,8
169,0,814,985,446,0
169,1,537,4,8,2
169,2,529,2,1,5
170,0,814,985,446,0
170,1,507,3,7,2
170,2,487,3,5,7
170,3,485,2,0,10
171,0,814,985,446,0
171,1,507,3,7,2
171,2,487,3,5,7
171,3,485,4,0,10
172,0,814,985,446,0
172,1,391,3,6,2
172,2,330,3,0,5
173,0,814,985,446,0
173,1,507,4,7,2
173,2,487,2,5,7
173,3,485,3,0,10
174,0,814,985,446,0
174,1,495,4,8,3
174,2,487,3,5,7
174,3,485,2,0,10
175,0,814,985,446,0
175,1,507,2,7,2
175,2,487,2,5,7
175,3,485,2,0,10
176,0,814,985,446,0
176,1,507,2,7,2
