experiment,iteration,sigma,attributes,objects,closure
1,0,4298,40,202599,0
1,1,2172,34,205,6
1,2,1729,24,0,11
2,0,4298,40,202599,0
2,1,3648,37,1193,3
2,2,2187,26,14,8
2,3,953,22,0,11
3,0,4298,40,202599,0
3,1,2658,36,3116,3
3,2,2155,31,0,5
4,0,4298,40,202599,0
4,1,2239,33,447,6
4,2,819,31,114,8
4,3,652,27,52,10
4,4,458,20,4,12
4,5,239,15,0,15
5,0,4298,40,202599,0
5,1,3657,36,212,4
5,2,1915,29,0,8
6,0,4298,40,202599,0
6,1,3643,36,869,4
6,2,493,27,0,7
7,0,4298,40,202599,0
7,1,3700,37,542,3
7,2,2136,22,0,10
8,0,4298,40,202599,0
8,1,3698,35,550,4
8,2,486,29,0,8
9,0,4298,40,202599,0
9,1,3700,36,364,3
9,2,3021,26,0,8
10,0,4298,40,202599,0
10,1,2634,35,296,4
10,2,1815,24,0,9
11,0,4298,40,202599,0
11,1,3700,37,1692,3
11,2,507,30,0,7
12,0,4298,40,202599,0
12,1,3643,36,216,4
12,2,2139,29,0,7
13,0,4298,40,202599,0
13,1,2413,34,912,5
13,2,693,28,5,9
13,3,272,17,0,14
14,0,4298,40,202599,0
14,1,3180,34,259,5
14,2,1158,21,0,10
15,0,4298,40,202599,0
15,1,2590,36,1444,4
15,2,1919,25,0,7
16,0,4298,40,202599,0
16,1,3699,37,666,3
16,2,1886,29,0,8
17,0,4298,40,202599,0
17,1,3673,36,456,4
17,2,507,31,0,7
18,0,4298,40,202599,0
18,1,3700,37,1566,3
18,2,1909,28,0,8
19,0,4298,40,202599,0
19,1,2409,33,418,5
19,2,775,31,52,7
19,3,315,24,0,9
20,0,4298,40,202599,0
20,1,2590,36,1444,4
20,2,1994,25,0,7
21,0,4298,40,202599,0
21,1,1009,36,423,4
21,2,719,29,0,9
22,0,4298,40,202599,0
22,1,3694,35,1156,4
22,2,2036,27,0,8
23,0,4298,40,202599,0
23,1,3700,37,810,3
23,2,2105,30,0,7
24,0,4298,40,202599,0
24,1,3692,37,1412,3
24,2,2483,24,0,9
25,0,4298,40,202599,0
25,1,3653,36,260,4
25,2,1948,25,0,8
26,0,4298,40,202599,0
26,1,3666,37,1375,3
26,2,1927,27,0,7
27,0,4298,40,202599,0
27,1,3700,37,636,3
27,2,479,23,0,8
28,0,4298,40,202599,0
28,1,3510,36,863,4
28,2,500,29,0,7
29,0,4298,40,202599,0
29,1,2598,36,247,4
29,2,1960,27,0,8
30,0,4298,40,202599,0
30,1,2824,27,214,6
30,2,1063,17,0,10
31,0,4298,40,202599,0
31,1,2532,35,344,4
31,2,2039,30,0,8
32,0,4298,40,202599,0
32,1,3552,36,693,4
32,2,1809,26,0,8
33,0,4298,40,202599,0
33,1,2282,34,1951,5
33,2,1792,23,0,7
34,0,4298,40,202599,0
34,1,2405,35,232,5
34,2,1838,26,0,8
35,0,4298,40,202599,0
35,1,3700,37,558,3
35,2,1181,25,0,9
36,0,4298,40,202599,0
36,1,877,35,671,5
36,2,391,28,0,8
37,0,4298,40,202599,0
37,1,2345,35,319,4
37,2,611,30,1,8
38,0,4298,40,202599,0
38,1,949,36,281,4
38,2,441,23,0,8
39,0,4298,40,202599,0
39,1,3633,35,598,4
39,2,2038,25,1,10
40,0,4298,40,202599,0
40,1,3629,34,256,4
40,2,1736,25,0,8
41,0,4298,40,202599,0
41,1,3648,37,1193,3
41,2,1918,29,0,7
42,0,4298,40,202599,0
42,1,3630,36,417,4
42,2,497,29,0,7
43,0,4298,40,202599,0
43,1,3597,34,1265,4
43,2,1278,22,0,10
44,0,4298,40,202599,0
44,1,3700,37,810,3
44,2,3023,25,84,8
44,3,276,19,0,10
45,0,4298,40,202599,0
45,1,2597,36,262,4
45,2,1914,27,0,8
46,0,4298,40,202599,0
46,1,3666,34,267,4
46,2,1988,24,0,8
47,0,4298,40,202599,0
47,1,2464,35,205,5
47,2,1980,30,0,8
48,0,4298,40,202599,0
48,1,3700,37,1124,3
48,2,511,27,0,7
49,0,4298,40,202599,0
49,1,2617,36,861,4
49,2,933,33,0,7
50,0,4298,40,202599,0
50,1,2658,36,3116,3
50,2,2155,29,0,6
51,0,4298,40,202599,0
51,1,2567,35,270,4
51,2,1248,28,1,10
52,0,4298,40,202599,0
52,1,3644,36,352,4
52,2,496,27,0,8
53,0,4298,40,202599,0
53,1,3653,36,260,4
53,2,1947,27,0,8
54,0,4298,40,202599,0
54,1,3700,37,1124,3
54,2,511,27,0,7
