"execution","experiment","iteration","user","attribute","grade"
9,1,1,1,"att3",1
9,1,1,1,"att10",0.5
9,1,1,1,"att2",0.75
9,1,1,2,"att5",0.75
9,1,1,2,"att13",0.75
9,1,1,2,"att8",0.25
9,1,1,2,"att17",0.25
9,1,1,2,"att4",0.75
9,1,1,3,"att19",0.5
9,1,1,3,"att14",0.5
9,1,1,3,"att5",1
9,1,1,3,"att6",0.75
9,1,1,3,"att10",1
9,1,1,4,"att2",1
9,1,1,4,"att19",0.75
9,1,1,4,"att5",0.75
9,1,1,4,"att3",0.25
9,1,1,5,"att8",0.25
9,1,1,5,"att15",0.5
9,1,1,5,"att13",1
9,1,2,1,"att11",1
9,1,2,1,"att19",0.75
9,1,2,2,"att3",0.25
9,1,2,2,"att17",0.75
9,1,2,2,"att4",0.5
9,1,2,3,"att4",0.5
9,1,2,4,"att14",0.25
9,1,2,4,"att1",0.25
9,1,2,5,"att19",0.25
9,1,2,5,"att15",0.75
9,1,2,5,"att16",0.25
9,1,2,5,"att12",0.25
