"execution","experiment","iteration","user","attribute","grade"
9,1,1,1,"att13",1
9,1,1,1,"att11",1
9,1,1,1,"att20",0.75
9,1,1,1,"att7",1
9,1,1,2,"att2",1
9,1,1,2,"att8",0.75
9,1,1,3,"att6",1
9,1,1,3,"att20",0.5
9,1,1,3,"att13",1
9,1,1,3,"att1",0.25
9,1,1,3,"att5",0.75
9,1,1,4,"att7",0.5
9,1,1,4,"att12",1
9,1,1,5,"att17",0.25
9,1,1,5,"att7",0.75
9,1,1,5,"att6",0.5
9,1,1,5,"att10",0.5
9,1,2,1,"att7",0.5
9,1,2,2,"att14",0.5
9,1,2,2,"att18",1
9,1,2,2,"att6",0.75
9,1,2,2,"att16",0.25
9,1,2,3,"att11",0.25
9,1,2,3,"att6",0.5
9,1,2,3,"att17",1
9,1,2,4,"att1",1
9,1,2,4,"att4",0.5
9,1,2,4,"att20",0.75
9,1,2,4,"att9",0.25
9,1,2,5,"att15",0.5
9,1,2,5,"att17",0.5
9,1,2,5,"att18",0.25
9,1,2,5,"att5",0.5
9,1,2,5,"att8",1
9,2,1,1,"att21",1
9,2,1,1,"att2",0.5
9,2,1,2,"att9",0.25
9,2,1,2,"att1",0.75
9,2,1,3,"att11",1
9,2,1,3,"att14",0.5
9,2,1,3,"att15",0.25
9,2,1,3,"att16",0.75
9,2,1,4,"att6",0.5
9,2,1,4,"att8",0.25
9,2,1,4,"att13",0.5
9,2,1,4,"att3",1
9,2,1,4,"att23",0.25
9,2,1,5,"att15",1
9,2,2,1,"att16",0.25
9,2,2,1,"att2",0.5
9,2,2,1,"att15",0.25
9,2,2,2,"att17",1
9,2,2,3,"att14",1
9,2,2,3,"att21",0.75
9,2,2,3,"att3",0.75
9,2,2,3,"att11",0.25
9,2,2,3,"att20",0.25
9,2,2,4,"att10",0.25
9,2,2,4,"att25",0.5
9,2,2,5,"att15",0.75
9,2,2,5,"att13",1
9,2,2,5,"att21",0.75
9,3,1,1,"att16",1
9,3,1,1,"att7",0.75
9,3,1,1,"att9",0.75
9,3,1,1,"att12",0.25
9,3,1,2,"att21",0.5
9,3,1,2,"att7",0.25
9,3,1,2,"att18",0.75
9,3,1,2,"att8",1
9,3,1,3,"att16",0.25
9,3,1,4,"att26",0.25
9,3,1,4,"att23",0.75
9,3,1,4,"att25",0.75
9,3,1,4,"att15",0.5
9,3,1,4,"att21",0.75
9,3,1,5,"att30",1
9,3,2,1,"att5",0.5
9,3,2,1,"att23",0.5
9,3,2,1,"att27",0.25
9,3,2,1,"att28",0.5
9,3,2,1,"att29",1
9,3,2,2,"att15",0.25
9,3,2,3,"att22",1
9,3,2,3,"att29",0.25
9,3,2,4,"att8",1
9,3,2,4,"att9",1
9,3,2,5,"att10",0.5
9,3,3,1,"att4",0.75
9,3,3,1,"att13",0.5
9,3,3,2,"att30",0.75
9,3,3,2,"att17",0.75
9,3,3,3,"att11",1
9,3,3,3,"att9",0.25
9,3,3,3,"att23",0.25
9,3,3,3,"att30",0.5
9,3,3,3,"att26",0.75
9,3,3,4,"att13",0.75
9,3,3,4,"att23",0.75
9,3,3,5,"att21",0.75
9,3,3,5,"att30",0.75
9,3,3,5,"att24",0.5
9,3,3,5,"att12",0.5
9,4,1,1,"att27",0.5
9,4,1,1,"att3",0.75
9,4,1,2,"att1",0.75
9,4,1,3,"att13",0.25
9,4,1,3,"att21",0.25
9,4,1,4,"att19",0.25
9,4,1,4,"att3",0.5
9,4,1,4,"att2",0.75
9,4,1,4,"att17",0.25
9,4,1,4,"att34",0.5
9,4,1,5,"att26",1
9,4,1,5,"att1",0.25
9,4,2,1,"att11",1
9,4,2,2,"att24",1
9,4,2,2,"att8",0.5
9,4,2,2,"att28",1
9,4,2,3,"att20",1
9,4,2,3,"att4",0.5
9,4,2,3,"att29",0.25
9,4,2,4,"att20",0.25
9,4,2,4,"att11",0.75
9,4,2,4,"att15",0.75
9,4,2,4,"att32",0.75
9,4,2,5,"att29",1
9,5,1,1,"att27",0.5
9,5,1,1,"att40",0.75
9,5,1,2,"att9",0.25
9,5,1,2,"att31",0.75
9,5,1,2,"att24",0.5
9,5,1,3,"att18",1
9,5,1,3,"att10",0.5
9,5,1,3,"att20",1
9,5,1,4,"att36",0.25
9,5,1,4,"att33",1
9,5,1,5,"att22",0.75
9,5,2,1,"att16",0.25
9,5,2,1,"att40",0.5
9,5,2,2,"att16",0.5
9,5,2,2,"att36",0.5
9,5,2,3,"att39",0.5
9,5,2,3,"att23",1
9,5,2,4,"att26",0.25
9,5,2,4,"att5",0.75
9,5,2,4,"att3",1
9,5,2,4,"att23",0.75
9,5,2,5,"att16",1
9,5,3,1,"att40",0.5
9,5,3,1,"att30",0.75
9,5,3,1,"att8",0.25
9,5,3,1,"att12",1
9,5,3,1,"att37",0.5
9,5,3,2,"att36",1
9,5,3,2,"att8",0.5
9,5,3,2,"att27",1
9,5,3,2,"att14",0.75
9,5,3,2,"att11",0.25
9,5,3,3,"att38",0.5
9,5,3,3,"att21",0.75
9,5,3,3,"att26",0.5
9,5,3,3,"att12",0.75
9,5,3,3,"att1",0.25
9,5,3,4,"att33",0.75
9,5,3,4,"att7",0.5
9,5,3,4,"att25",0.75
9,5,3,5,"att34",0.5
9,5,3,5,"att9",1
9,5,3,5,"att20",0.75
9,5,3,5,"att39",0.25
9,5,3,5,"att23",1
