"execution","experiment","iteration","user","attribute","grade"
9,1,1,1,"att4",0.25
9,1,1,1,"att9",0.25
9,1,1,1,"att11",0.75
9,1,1,1,"att6",0.25
9,1,1,1,"att12",0.5
9,1,1,2,"att18",1
9,1,1,2,"att7",0.25
9,1,1,2,"att14",0.5
9,1,1,2,"att3",0.75
9,1,1,2,"att4",0.75
9,1,1,3,"att10",0.75
9,1,1,3,"att12",0.5
9,1,1,3,"att4",1
9,1,1,3,"att1",0.25
9,1,1,3,"att7",1
9,1,1,4,"att12",0.5
9,1,1,5,"att10",0.25
9,1,1,5,"att3",0.25
9,1,2,1,"att12",0.5
9,1,2,2,"att16",0.75
9,1,2,2,"att10",0.5
9,1,2,2,"att17",0.5
9,1,2,2,"att14",0.75
9,1,2,3,"att18",0.25
9,1,2,3,"att14",0.75
9,1,2,3,"att19",0.75
9,1,2,3,"att6",1
9,1,2,3,"att1",0.5
9,1,2,4,"att1",0.25
9,1,2,4,"att5",1
9,1,2,4,"att14",0.5
9,1,2,4,"att20",0.75
9,1,2,4,"att7",1
9,1,2,5,"att18",0.5
9,1,2,5,"att15",0.5
9,1,2,5,"att8",0.75
9,2,1,1,"att21",0.5
9,2,1,1,"att6",0.25
9,2,1,2,"att10",0.5
9,2,1,2,"att23",0.25
9,2,1,3,"att23",1
9,2,1,3,"att9",0.75
9,2,1,4,"att4",0.75
9,2,1,4,"att9",1
9,2,1,5,"att24",1
9,2,1,5,"att10",0.25
9,2,1,5,"att6",0.25
9,2,1,5,"att3",1
9,2,1,5,"att15",0.5
9,2,2,1,"att13",0.75
9,2,2,1,"att12",0.75
9,2,2,1,"att4",0.75
9,2,2,1,"att3",1
9,2,2,2,"att24",0.25
9,2,2,2,"att12",0.25
9,2,2,2,"att3",1
9,2,2,2,"att22",0.75
9,2,2,3,"att1",1
9,2,2,4,"att8",0.25
9,2,2,4,"att2",1
9,2,2,4,"att24",0.75
9,2,2,5,"att12",1
9,3,1,1,"att1",1
9,3,1,1,"att5",1
9,3,1,2,"att13",0.75
9,3,1,3,"att13",0.25
9,3,1,3,"att8",1
9,3,1,4,"att17",1
9,3,1,5,"att7",0.75
9,3,1,5,"att25",0.5
9,3,1,5,"att14",0.75
9,3,2,1,"att12",0.25
9,3,2,1,"att24",0.5
9,3,2,1,"att25",0.5
9,3,2,1,"att7",0.25
9,3,2,1,"att10",0.25
9,3,2,2,"att2",0.5
9,3,2,2,"att30",0.75
9,3,2,3,"att26",0.75
9,3,2,3,"att20",0.75
9,3,2,4,"att3",0.75
9,3,2,4,"att28",0.75
9,3,2,4,"att22",0.5
9,3,2,4,"att18",0.5
9,3,2,5,"att15",0.25
9,3,2,5,"att29",0.75
9,3,2,5,"att5",1
9,3,2,5,"att6",0.75
9,4,1,1,"att27",0.5
9,4,1,2,"att4",0.25
9,4,1,2,"att34",0.25
9,4,1,2,"att10",1
9,4,1,2,"att29",0.5
9,4,1,3,"att33",1
9,4,1,3,"att25",0.5
9,4,1,3,"att18",0.25
9,4,1,3,"att9",1
9,4,1,4,"att2",0.25
9,4,1,4,"att1",0.75
9,4,1,5,"att9",1
9,4,1,5,"att19",0.75
9,4,2,1,"att7",0.75
9,4,2,1,"att10",1
9,4,2,2,"att13",1
9,4,2,2,"att14",0.25
9,4,2,2,"att30",0.75
9,4,2,2,"att2",0.25
9,4,2,2,"att15",1
9,4,2,3,"att33",1
9,4,2,3,"att29",0.25
9,4,2,3,"att4",0.5
9,4,2,3,"att9",1
9,4,2,3,"att32",0.5
9,4,2,4,"att33",1
9,4,2,4,"att30",0.25
9,4,2,5,"att4",0.5
9,5,1,1,"att13",0.5
9,5,1,1,"att36",0.5
9,5,1,1,"att28",0.25
9,5,1,1,"att34",1
9,5,1,2,"att30",0.5
9,5,1,2,"att15",1
9,5,1,2,"att4",1
9,5,1,3,"att17",0.75
9,5,1,3,"att7",0.75
9,5,1,3,"att9",0.75
9,5,1,3,"att1",1
9,5,1,4,"att25",0.5
9,5,1,5,"att6",0.5
9,5,1,5,"att32",1
9,5,1,5,"att15",0.5
9,5,1,5,"att25",0.75
9,5,2,1,"att13",1
9,5,2,1,"att37",0.25
9,5,2,1,"att34",0.75
9,5,2,1,"att26",0.5
9,5,2,2,"att12",0.75
9,5,2,3,"att33",0.75
9,5,2,3,"att7",1
9,5,2,4,"att26",0.75
9,5,2,4,"att33",0.75
9,5,2,4,"att35",0.25
9,5,2,4,"att14",1
9,5,2,5,"att13",0.5
9,5,2,5,"att19",0.75
9,5,2,5,"att18",0.75
9,5,2,5,"att8",0.5
9,5,2,5,"att29",1
9,6,1,1,"att34",0.25
9,6,1,1,"att26",1
9,6,1,1,"att21",1
9,6,1,1,"att32",1
9,6,1,1,"att6",0.5
9,6,1,2,"att41",0.75
9,6,1,2,"att43",0.75
9,6,1,2,"att1",0.5
9,6,1,2,"att15",0.5
9,6,1,2,"att35",0.5
9,6,1,3,"att38",1
9,6,1,3,"att5",1
9,6,1,4,"att39",0.75
9,6,1,4,"att11",1
9,6,1,5,"att1",0.25
9,6,2,1,"att35",0.5
9,6,2,2,"att2",0.5
9,6,2,2,"att32",0.5
9,6,2,2,"att12",1
9,6,2,2,"att41",1
9,6,2,2,"att37",1
9,6,2,3,"att23",0.5
9,6,2,3,"att15",1
9,6,2,3,"att38",0.75
9,6,2,3,"att18",0.75
9,6,2,4,"att19",0.25
9,6,2,4,"att24",0.25
9,6,2,4,"att36",0.75
9,6,2,5,"att29",1
9,6,2,5,"att43",0.25
